(895, 607)
(1351, 305)
(422, 1012)
(1246, 338)
(176, 1210)
(397, 1038)
(16, 1321)
(560, 912)
(430, 1012)
(689, 795)
(973, 546)
(948, 615)
(129, 1224)
(1291, 314)
(6, 1312)
(897, 654)
(1211, 366)
(232, 1156)
(783, 742)
(211, 1197)
(866, 666)
(556, 926)
(980, 577)
(84, 1258)
(173, 1191)
(367, 1036)
(995, 549)
(1351, 284)
(864, 687)
(1386, 243)
(1182, 400)
(1473, 162)
(963, 580)
(439, 984)
(1431, 224)
(1074, 478)
(1007, 561)
(1285, 307)
(103, 1228)
(1117, 480)
(1258, 379)
(322, 1110)
(1254, 330)
(1219, 410)
(416, 1009)
(1278, 322)
(588, 871)
(660, 824)
(384, 1041)
(759, 717)
(490, 966)
(747, 757)
(1486, 149)
(33, 1297)
(1139, 438)
(334, 1085)
(122, 1220)
(1033, 520)
(463, 989)
(911, 601)
(533, 905)
(892, 618)
(4, 1345)
(1263, 375)
(839, 672)
(1222, 369)
(904, 631)
(771, 704)
(455, 952)
(1168, 427)
(762, 760)
(1052, 487)
(244, 1151)
(1104, 454)
(139, 1231)
(211, 1145)
(1037, 555)
(584, 874)
(347, 1092)
(1123, 489)
(811, 709)
(1488, 195)
(169, 1184)
(710, 802)
(756, 737)
(359, 1038)
(1360, 278)
(491, 965)
(1227, 403)
(320, 1081)
(1304, 341)
(1006, 576)
(1228, 383)
(287, 1117)
(498, 941)
(235, 1123)
(1394, 227)
(1492, 151)
(926, 619)
(700, 792)
(59, 1303)
(714, 769)
(1477, 198)
(41, 1313)
(215, 1143)
(1249, 348)
(646, 850)
(1218, 382)
(669, 841)
(950, 564)
(1297, 342)
(430, 1006)
(6, 1359)
(746, 761)
(535, 927)
(578, 895)
(417, 1036)
(604, 855)
(493, 933)
(1418, 240)
(1210, 395)
(489, 968)
(403, 1026)
(825, 686)
(85, 1266)
(1414, 222)
(578, 901)
(6, 1312)
(1330, 283)
(563, 913)
(495, 925)
(263, 1123)
(1018, 555)
(1157, 420)
(1424, 198)
(1448, 209)
(1345, 283)
(399, 1006)
(833, 698)
(88, 1263)
(1274, 338)
(1154, 460)
(1026, 549)
(98, 1229)
(370, 1065)
(684, 816)
(288, 1116)
(874, 682)
(1193, 420)
(263, 1148)
(225, 1170)
(1296, 352)
(217, 1157)
(899, 623)
(1128, 476)
(839, 679)
(112, 1278)
(361, 1051)
(580, 878)
(733, 788)
(1091, 484)
(236, 1167)
(175, 1204)
(745, 755)
(856, 686)
(774, 748)
(335, 1052)
(1493, 148)
(1420, 211)
(1037, 532)
(1461, 190)
(1195, 419)
(1066, 517)
(1156, 404)
(57, 1318)
(511, 932)
(44, 1290)
(650, 841)
(659, 815)
(37, 1308)
(1079, 489)
(263, 1132)
(1254, 335)
(643, 861)
(451, 1012)
(381, 1010)
(1419, 230)
(73, 1303)
(286, 1082)
(1273, 348)
(1246, 337)
(743, 732)
(464, 966)
(658, 827)
(539, 914)
(1490, 175)
(276, 1131)
(728, 781)
(158, 1202)
(911, 612)
(463, 978)
(357, 1031)
(289, 1136)
(952, 583)
(1204, 391)
(990, 561)
(577, 889)
(521, 926)
(1043, 493)
(678, 781)
(1471, 174)
(938, 574)
(249, 1122)
(755, 719)
(280, 1104)
(748, 778)
(548, 899)
(1402, 216)
(1402, 268)
(1443, 213)
(1036, 532)
(184, 1196)
(571, 885)
(901, 603)
(1013, 523)
(122, 1253)
(648, 838)
(202, 1165)
(703, 806)
(1328, 300)
(573, 879)
(92, 1239)
(695, 786)
(157, 1242)
(1303, 345)
(950, 617)
(1215, 359)
(1299, 299)
(15, 1299)
(307, 1085)
(1140, 443)
(531, 900)
(1207, 378)
(45, 1326)
(1066, 481)
(1127, 462)
(129, 1251)
(567, 918)
(977, 570)
(478, 962)
(709, 770)
(96, 1251)
(1042, 503)
(363, 1028)
(1468, 195)
(335, 1095)
(86, 1249)
(75, 1260)
(1383, 243)
(1049, 510)
(462, 1005)
(421, 1033)
(1095, 486)
(708, 789)
(1278, 347)
(862, 649)
(182, 1185)
(1285, 308)
(518, 916)
(24, 1342)
(278, 1125)
(268, 1105)
(245, 1115)
(1447, 199)
(600, 894)
(1263, 378)
(419, 984)
(216, 1170)
(1403, 233)
(135, 1253)
(550, 915)
(149, 1222)
(266, 1143)
(727, 787)
(1300, 316)
(263, 1148)
(991, 540)
(363, 1027)
(1038, 541)
(989, 534)
(1330, 280)
(934, 587)
(705, 791)
(774, 721)
(132, 1240)
(1008, 550)
(1215, 403)
(817, 688)
(1249, 352)
(991, 557)
(1482, 265)
(1044, 1277)
(164, 1116)
(1110, 955)
(237, 50)
(599, 771)
(1469, 630)
(1347, 169)
(1101, 1186)
(1158, 413)
(500, 828)
(761, 538)
(1294, 771)
(572, 1399)
(502, 1258)
(1345, 666)
(344, 308)
(268, 1275)
(835, 1327)
(1108, 502)
(1206, 760)
(599, 1002)
(455, 1154)
(765, 835)
(1409, 553)
(732, 148)
(1091, 1256)
(415, 276)
(521, 577)
(923, 1039)
